,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
89,89.0,980.0,967.0,13.0,98.6734693877551,1.3265306122448948,87220.0,87124.0,129.0,0.011228425422039686,1.3265306122448979,0.013444674250258531,-6.216821389062252,-6.216821389062252,-5.6914924522486885,552.6087128527735
90,90.0,980.0,963.0,17.0,98.26530612244898,1.7346938775510239,88200.0,88087.0,146.0,0.0126042129713461,1.7346938775510203,0.017654205607476638,-5.823844284674864,-5.823844284674864,-5.532429222341136,555.7899774509245
91,91.0,981.0,968.0,13.0,98.67482161060143,1.3251783893985731,89271.0,89055.0,159.0,0.01449702291865686,1.325178389398573,0.013430785123966942,-6.218312546860005,-5.823844284674864,-5.340993782375046,559.6186862502464
92,92.0,980.0,962.0,18.0,98.16326530612245,1.8367346938775455,90160.0,90017.0,177.0,0.017052835015598115,1.836734693877551,0.018712058212058215,-5.739887934829534,-5.739887934829534,-5.119998883719149,564.0385842233643
93,93.0,980.0,963.0,17.0,98.26530612244898,1.7346938775510239,91140.0,90980.0,194.0,0.02049861914814275,1.7346938775510203,0.017654205607476638,-5.823844284674864,-5.739887934829534,-4.870557340432334,569.0274150891006
94,94.0,981.0,957.0,24.0,97.55351681957187,2.4464831804281317,92214.0,91937.0,218.0,0.025952245212278204,2.4464831804281344,0.025079414838035528,-5.3173525027238036,-5.3173525027238036,-4.551632923465615,575.405903428435
95,95.0,980.0,944.0,36.0,96.3265306122449,3.6734693877551052,93100.0,92881.0,254.0,0.035448064282583056,3.673469387755102,0.038136652542372876,-4.712677973613867,-4.712677973613867,-4.129788017272336,583.8428015523006
96,96.0,981.0,932.0,49.0,95.00509683995922,4.994903160040778,94176.0,93813.0,303.0,0.053170255777305886,4.994903160040774,0.05257618025751073,-4.249446858083568,-4.249446858083568,-3.5769157056439664,594.9002477848679
97,97.0,980.0,866.0,114.0,88.36734693877551,11.632653061224488,95060.0,94679.0,417.0,0.09530929239528588,11.63265306122449,0.13164087759815243,-2.925320545397831,-2.925320545397831,-2.7592842950848944,611.2528759960494
98,98.0,980.0,598.0,382.0,61.02040816326531,38.97959183673469,96040.0,95277.0,799.0,0.28543967018023214,38.97959183673469,0.6387976588628762,-0.6465690694787111,-0.6465690694787111,-1.0135972403517468,646.1666170907123
99,99.0,981.0,230.0,751.0,23.44546381243629,76.55453618756371,97119.0,95507.0,1550.0,0.7129205998937671,76.55453618756371,3.2652217391304346,1.7071809676006293,1.7071809676006293,1.6115919817372766,698.6704015324927
100,100.0,980.0,38.0,942.0,3.877551020408163,96.12244897959184,98000.0,95545.0,2492.0,0.9206842853604135,96.12244897959184,24.7895,4.631657267691783,4.631657267691783,,999.0
